_id,Year,Month,State,ATC_Classification,Scheme,Services,Benefits($)
1,2015,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements PBS,779906,25415799
2,2015,January,NSW,Alimentary Tract and Metabolism,Normal Arrangements RPBS,39454,883491
3,2015,January,NSW,Blood and Blood Forming Organs,Normal Arrangements PBS,233103,7809333
4,2015,January,NSW,Blood and Blood Forming Organs,Special Arrangements PBS,3794,4730581
5,2015,January,NSW,Blood and Blood Forming Organs,Normal Arrangements RPBS,16467,448652
6,2015,January,NSW,Blood and Blood Forming Organs,Special Arrangements RPBS,205,199513
7,2015,January,NSW,Cardiovascular System,Normal Arrangements PBS,1570861,30359536
8,2015,January,NSW,Cardiovascular System,Special Arrangements PBS,354,823593
9,2015,January,NSW,Cardiovascular System,Normal Arrangements RPBS,70011,1184772
10,2015,January,NSW,Cardiovascular System,Special Arrangements RPBS,14,25998
11,2015,January,NSW,Dermatologicals,Normal Arrangements PBS,79518,1783812
12,2015,January,NSW,Dermatologicals,Normal Arrangements RPBS,4923,112135
13,2015,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,75460,2785857
14,2015,January,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,4258,221589
15,2015,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,84401,1718878
16,2015,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,913,1674446
17,2015,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,3126,59683
18,2015,January,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,12,24269
19,2015,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,304254,9479737
20,2015,January,NSW,General Anti-Infectives for Systemic Use,Special Arrangements PBS,9914,10674363
21,2015,January,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,11230,153666
22,2015,January,NSW,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,29,28770
23,2015,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,71714,51290366
24,2015,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,10056,14932435
25,2015,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,1443,885470
26,2015,January,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,78,156576
27,2015,January,NSW,Musculo-Skeletal System,Normal Arrangements PBS,205004,7146924
28,2015,January,NSW,Musculo-Skeletal System,Special Arrangements PBS,1118,463376
29,2015,January,NSW,Musculo-Skeletal System,Normal Arrangements RPBS,8905,350890
30,2015,January,NSW,Musculo-Skeletal System,Special Arrangements RPBS,17,7104
31,2015,January,NSW,Nervous System,Normal Arrangements PBS,1074598,31185827
32,2015,January,NSW,Nervous System,Special Arrangements PBS,10084,1069392
33,2015,January,NSW,Nervous System,Normal Arrangements RPBS,52289,1181397
34,2015,January,NSW,Nervous System,Special Arrangements RPBS,8,502
35,2015,January,NSW,Anti-Parasitic Products,Normal Arrangements PBS,2802,51117
36,2015,January,NSW,Anti-Parasitic Products,Normal Arrangements RPBS,137,2072
37,2015,January,NSW,Respiratory System,Normal Arrangements PBS,293506,13270101
38,2015,January,NSW,Respiratory System,Special Arrangements PBS,154,352349
39,2015,January,NSW,Respiratory System,Normal Arrangements RPBS,12136,580680
40,2015,January,NSW,Sensory Organs,Normal Arrangements PBS,229960,14180822
41,2015,January,NSW,Sensory Organs,Normal Arrangements RPBS,17846,1789907
42,2015,January,NSW,Various +,Normal Arrangements PBS,18924,5033076
43,2015,January,NSW,Various +,Special Arrangements PBS,728,889339
44,2015,January,NSW,Various +,Normal Arrangements RPBS,1607,168913
45,2015,January,NSW,Various +,Special Arrangements RPBS,10,21878
46,2015,January,NSW,Other ++,Normal Arrangements PBS,4704,115981
47,2015,January,NSW,Other ++,Normal Arrangements RPBS,22589,573463
