,Births ;  Australia ;,Deaths ;  Australia ;,Natural Increase ;  Australia ;,Interstate Arrivals ;  Australia ;,Interstate Departures ;  Australia ;,Overseas Arrivals ;  Australia ;,Overseas Departures ;  Australia ;,Net Permanent and Long Term Movement ;  Australia ;,Migration Adjustment ;  Australia ;,Net Overseas Migration ;  Australia ;,Estimated Resident Population (ERP) ;  Australia ;,ERP Change Over Previous Year ;  Australia ;,Percentage ERP Change Over Previous Year ;  Australia ;
Unit,000,000,000,000,000,000,000,000,000,000,000,000,Percent
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,STOCK_CLOSE,FLOW,PERCENT
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981
Series End,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015,Dec-2015
No. Obs,139,139,139,139,139,139,139,139,139,139,139,139,139
Series ID,A2133244X,A2133245A,A2133252X,A2133246C,A2133247F,A2133248J,A2133249K,A2133253A,A2133250V,A2133254C,A2133251W,A2133255F,A2133256J
Jun-1981,60.3,26.7,33.6,78.0,78.0,48.2,19.1,29.1,-3.6,25.6,14923.3,,
Sep-1981,61.0,31.5,29.6,76.6,76.6,50.0,19.1,30.8,3.3,34.1,14988.7,,
Dec-1981,55.0,25.7,29.3,65.9,65.9,56.7,21.7,35.0,-0.5,34.5,15054.1,,
Mar-1982,60.6,26.1,34.5,70.3,70.3,58.7,26.3,32.4,-1.0,31.4,15121.7,,
Jun-1982,60.5,27.7,32.7,81.7,81.7,45.3,20.5,24.8,3.3,28.1,15184.2,261.0,1.75
Sep-1982,60.3,33.9,26.4,66.9,66.9,45.6,21.2,24.4,2.5,26.9,15239.3,250.6,1.67
Dec-1982,58.6,27.1,31.5,58.7,58.7,45.6,24.3,21.3,-5.0,16.3,15288.9,234.8,1.56
Mar-1983,61.9,25.6,36.4,57.5,57.5,47.4,29.3,18.1,1.1,19.2,15346.2,224.5,1.48
Jun-1983,61.0,26.4,34.6,71.0,71.0,34.1,22.5,11.6,-0.7,10.9,15393.5,209.2,1.38
Sep-1983,62.0,31.9,30.1,62.4,62.4,34.2,23.9,10.3,3.3,13.6,15439.0,199.7,1.31
Dec-1983,57.6,26.2,31.4,52.4,52.4,37.8,24.8,13.0,-1.7,11.3,15483.5,194.6,1.27
Mar-1984,61.1,25.9,35.2,62.8,62.8,41.3,27.0,14.3,-3.3,11.0,15531.5,185.3,1.21
Jun-1984,59.8,26.9,32.9,67.3,67.3,32.0,23.0,9.0,4.2,13.2,15579.4,185.9,1.21
Sep-1984,60.7,31.9,28.8,65.7,65.7,36.8,22.0,14.9,3.6,18.5,15628.5,189.5,1.23
Dec-1984,56.9,27.2,29.7,58.9,58.9,43.4,24.4,19.1,-1.9,17.2,15677.3,193.8,1.25
Mar-1985,62.3,26.6,35.6,67.8,67.8,46.5,26.4,20.1,1.7,21.9,15736.7,205.1,1.32
Jun-1985,62.0,28.5,33.5,74.5,74.5,36.5,22.5,13.9,2.3,16.2,15788.3,208.9,1.34
Sep-1985,60.8,35.1,25.8,72.5,72.5,40.9,21.4,19.5,4.1,23.6,15839.7,211.2,1.35
Dec-1985,57.8,26.7,31.1,67.6,67.6,48.7,23.1,25.6,2.1,27.7,15900.6,223.3,1.42
Mar-1986,60.0,26.8,33.1,76.3,76.3,53.6,26.2,27.5,-1.7,25.8,15961.5,224.8,1.43
Jun-1986,60.5,27.5,33.0,77.8,77.8,43.2,21.8,21.4,2.0,23.4,16018.4,230.0,1.46
Sep-1986,60.8,31.9,28.8,70.7,70.7,47.2,21.2,25.9,3.7,29.6,16075.0,235.3,1.49
Dec-1986,62.2,28.7,33.5,65.3,65.3,52.7,23.2,29.4,2.5,32.0,16138.8,238.2,1.50
Mar-1987,59.1,27.1,31.9,90.5,90.5,57.1,28.2,28.9,6.1,35.1,16204.0,242.5,1.52
Jun-1987,60.8,28.4,32.4,73.9,73.9,47.5,22.6,24.9,4.3,29.1,16263.9,245.5,1.53
Sep-1987,61.5,32.3,29.3,76.1,76.1,54.2,22.9,31.3,6.2,37.4,16328.9,253.8,1.58
Dec-1987,62.6,29.6,33.0,72.9,72.9,62.8,24.0,38.8,-4.3,34.5,16394.6,255.9,1.59
Mar-1988,61.5,29.9,31.6,101.6,101.6,69.8,28.0,41.8,5.5,47.3,16471.8,267.7,1.65
Jun-1988,60.6,28.7,31.9,83.9,83.9,55.4,24.1,31.4,-1.2,30.2,16532.2,268.3,1.65
Sep-1988,62.2,33.6,28.5,83.9,83.9,62.5,24.8,37.7,15.9,53.6,16612.6,283.8,1.74
Dec-1988,62.0,27.6,34.3,77.1,77.1,66.1,27.9,38.3,3.5,41.8,16687.1,292.4,1.78
Mar-1989,63.4,27.8,35.6,109.9,109.9,67.9,32.6,35.3,7.7,43.0,16764.0,292.3,1.77
Jun-1989,62.7,29.8,32.9,94.9,94.9,53.4,27.3,26.0,-6.9,19.1,16814.4,282.3,1.71
Sep-1989,61.9,36.9,25.0,85.6,85.6,57.5,28.2,29.3,4.9,34.2,16872.0,259.4,1.56
Dec-1989,62.9,29.8,33.1,72.6,72.6,59.3,31.9,27.4,5.8,33.2,16936.7,249.6,1.50
Mar-1990,65.0,29.2,35.8,105.2,105.2,64.3,35.9,28.4,6.3,34.7,17005.6,241.6,1.44
Jun-1990,67.7,29.2,38.5,84.3,84.3,50.8,32.1,18.8,3.8,22.6,17065.1,250.7,1.49
Sep-1990,65.8,33.0,32.9,78.1,78.1,58.7,32.6,26.1,-1.2,24.9,17121.1,249.1,1.48
